Rank,Elo
357,1334
93,1706.2
334,1388
331,1391.1
304,1419.7
52,1783.4
303,1420.1
85,1722.3
304,1395.2
354,1343.6
45,1815.1
360,1328.7
136,1646
266,1472
133,1648
129,1645.6
195,1559.1
197,1556.8
43,1823.1
49,1806.1
367,1320.8
198,1528.8
55,1793.8
387,1087.3
276,1458.1
349,1357.9
3,2141.3
216,1501.3
141,1629.8
192,1561.4
95,1700.7
361,1326.8
299,1426.1
322,1397.4
75,1745
369,1274.4
387,1211.4
142,1625.4
57,1772.7
50,1784
59,1769.6
62,1776.5
254,1452.5
167,1588.1
308,1393.7
44,1804.2
272,1429.4
390,1182.9
110,1670.9
70,1754.2
381,1240.8
182,1551.6
150,1612.8
34,1856.8
93,1702.6
276,1424.4
278,1423.4
56,1776.8
268,1470.3
287,1437.1
293,1409.9
210,1510.1
250,1486.9
90,1716.1
212,1545.2
108,1680.2
356,1301.1
227,1526.2
152,1616.7
13,1955
39,1832.8
235,1469.8
4,2010.6
348,1315.6
16,1912.4
85,1723.7
329,1351.2
53,1783.3
155,1598
123,1648.6
333,1347.9
80,1739.5
96,1699.1
370,1272.9
173,1567.8
395,1035.9
318,1375.6
236,1514.3
156,1597.2
97,1696.4
218,1500.3
239,1466.9
337,1381.5
92,1706.8
5,1990.5
1,2132
351,1313.3
248,1456.5
31,1872.8
146,1617.2
337,1338.7
316,1404.7
377,1247.6
200,1528.5
20,1905.5
116,1656.4
17,1907.8
97,1696.2
125,1661.3
118,1666.6
186,1566
114,1663.6
124,1648.2
40,1817.7
336,1345.7
138,1644.9
199,1556.7
246,1494.6
180,1571.2
33,1869.8
34,1869.1
235,1515.1
226,1483.7
20,1910.5
35,1853.2
349,1314.5
202,1555.3
47,1785.2
5,2029.5
270,1469.2
351,1351.2
137,1645.6
322,1370.1
375,1251.9
326,1358.3
244,1463.3
76,1744.2
7,2010.2
305,1395.2
153,1601
154,1611.1
211,1546.4
366,1285.8
315,1385.9
243,1463.5
248,1490.1
154,1600.7
120,1664.2
114,1671.5
203,1554.8
121,1650.2
113,1663.8
29,1868.2
109,1671.5
287,1417.2
204,1553.3
70,1748.1
18,1907.7
61,1777.5
280,1421.8
187,1546.4
232,1472.4
272,1462.7
257,1447.9
159,1593.4
163,1597.6
77,1729.9
383,1233.8
194,1559.4
38,1853.4
201,1555.4
298,1399.8
201,1528.1
161,1591.1
9,1960.1
2,2166.2
336,1387.4
145,1620.4
89,1716.2
181,1552.7
255,1479.5
32,1862
50,1803.9
72,1753.5
380,1246.4
265,1472.1
119,1666.1
30,1873.5
328,1392.5
139,1643.9
253,1452.9
313,1387.3
163,1586.1
15,1933.9
189,1563.4
205,1552.4
233,1517.4
10,2002.1
81,1725.9
364,1289.9
291,1434
48,1785.1
247,1494.1
103,1688.6
229,1523.8
393,1094.4
258,1477.5
101,1692.2
42,1813.2
340,1331.5
335,1347.5
396,1032.1
219,1499.5
83,1727
24,1894.5
69,1755.3
158,1601.8
166,1579.3
15,1942
132,1642.9
25,1888.2
321,1372.4
224,1488.2
302,1397.8
312,1409.8
296,1405.9
238,1467
51,1803.1
288,1416.7
228,1525.5
281,1446.5
258,1446.9
260,1446
27,1876.6
176,1563.5
310,1388.2
181,1567.3
352,1350.6
132,1649.3
243,1499.9
291,1414.5
372,1263.1
102,1683.7
300,1399
321,1398.5
288,1435.9
196,1558.3
329,1392.4
56,1793.3
98,1695.7
341,1379.2
219,1535.5
229,1477.5
113,1671.5
86,1721.5
238,1511.9
104,1685.1
215,1541.4
14,1936
230,1475.5
128,1657.4
344,1368.1
241,1501.5
59,1779.4
358,1333.1
91,1706
161,1598.8
29,1875.3
265,1440.2
168,1573.8
365,1322.8
122,1662.8
129,1656
206,1551.1
316,1384.9
314,1386.5
37,1854.3
6,1988.4
217,1538.4
292,1432.4
239,1503.9
364,1324.6
222,1490.7
182,1566.7
221,1533.1
90,1711.3
330,1391.7
144,1633.8
237,1467.5
264,1441.6
207,1549.5
260,1476.8
348,1359.5
252,1482.9
376,1277.3
325,1395.1
241,1463.6
120,1650.5
162,1598.1
22,1903.5
271,1468.3
79,1726.4
357,1300.7
204,1522.9
269,1434.3
144,1622.3
209,1547.1
140,1630.2
136,1639.8
83,1723.9
302,1420.4
340,1379.6
53,1798.5
21,1905.5
135,1646.6
78,1727.6
130,1653.8
14,1946.5
345,1365
160,1600.5
24,1898.3
344,1324
378,1246.6
360,1298
64,1764.1
382,1238.2
207,1516.9
202,1526.6
323,1360.8
234,1471.1
170,1572.5
143,1635.8
117,1666.7
257,1478.1
88,1712.8
378,1259.5
311,1387.7
75,1736
251,1455.1
58,1786.7
223,1489
9,2006.1
99,1688.9
78,1741.8
242,1501.3
169,1581.8
123,1662.8
333,1390.1
300,1422.8
369,1318.3
26,1885.7
327,1392.7
19,1907.5
12,1961.2
48,1807
134,1647.3
346,1316.6
21,1902.9
268,1437.6
255,1451.9
294,1408.8
49,1784.1
115,1671.1
124,1662.1
359,1331.6
286,1438.8
157,1602.9
342,1326.7
326,1394.5
41,1813.8
350,1354.5
35,1864.5
72,1738.5
283,1440.1
323,1396.4
106,1683.1
168,1582.1
200,1555.5
94,1703.2
282,1443.8
116,1668.9
108,1676.7
262,1444.8
277,1456
216,1539.1
226,1528.2
66,1762.8
343,1374.5
139,1630.9
65,1762.2
368,1280.8
195,1535.2
25,1892.5
380,1241.3
31,1862.7
8,1962.4
193,1535.7
225,1487.9
45,1800.4
184,1549.9
111,1670.6
354,1308.3
252,1453.5
285,1417.6
282,1419.3
94,1701.4
236,1467.9
246,1461.7
242,1463.5
23,1900.1
52,1800
28,1871.4
307,1394.5
273,1428.7
262,1475.1
95,1700.6
211,1507.9
149,1614
92,1703.4
117,1654.1
197,1530.5
284,1439.6
192,1536.4
80,1726
309,1390.4
359,1298.6
63,1764.4
107,1676.8
352,1310.2
385,1227.5
174,1575.9
358,1298.7
67,1758.8
196,1531.3
33,1858.6
127,1659.3
125,1648.1
290,1414.5
295,1407.7
221,1493.1
157,1594
247,1460.4
228,1478.4
32,1870.3
343,1326.1
298,1426.1
112,1672.4
40,1823.8
240,1463.9
223,1532.4
309,1415
379,1257.1
332,1390.8
121,1663.8
217,1500.7
368,1319.2
179,1557.5
289,1416.1
37,1843.5
190,1563
193,1561.1
